geo,variable,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
DE,gdp_per_capita,32166.474119,32763.616327,35256.416836,37494.809238,39078.248689,38222.823256,40452.445425,43384.111667,44234.495586,45949.484517,48060.809841,48770.474333,51858.712082,54551.287282,56833.938216,59953.085922,59444.321161,63548.21742,70217.397604,72262.483672,73956.620229,75878.686044,
DE,nrg_ind_ren,6.207,7.167,8.466,10.039,10.072,10.851,11.667,12.47,13.549,13.757,14.381,14.901,14.885,15.472,16.66,17.266,19.09,19.302,20.829,21.512,22.474,,
DE,road_eqs_carhab,550.0,559.0,566.0,501.0,504.0,510.0,527.0,534.0,539.0,543.0,547.0,548.0,555.0,561.0,567.0,574.0,580.0,583.0,587.0,588.0,590.0,,
DE,road_eqs_carmot,9071000.0,10091000.0,10820000.0,10046000.0,10290000.0,10818000.0,11267000.0,11891000.0,12579000.0,13215000.0,13861000.0,14532000.0,15089392.0,15237472.0,15179677.0,15202076.0,15270342.0,15179992.0,14915009.0,14772094.0,14592567.0,,
ES,demo_r_d3dens,84.8,86.3,87.7,90.1,91.6,92.4,92.8,93.2,93.2,92.9,92.5,92.5,92.5,92.7,93.1,93.8,93.8,94.2,95.1,96.2,97.2,,
ES,diesel_price_ht,,474.98795918367347,522.915918367347,524.0104081632653,680.6802040816327,459.3986,576.0528571428572,727.8202040816327,786.3408163265306,753.0908163265306,712.3746938775511,558.1451020408164,468.37199999999996,541.3466,629.485,624.410612244898,507.8722,650.118775510204,1104.3966666666668,911.0723076923077,837.2250234090515,799.0650973140496,928.553133876151
ES,env_air_gge,100260.26,102841.63,106132.81,108481.85,102548.84,95257.71,91916.2,86718.75,79536.41,80337.75,80622.08,83767.71,86651.73,89235.49,90291.75,91430.1,73844.91,85485.79,90448.84,87697.89,,,
ES,gdp_per_capita,26198.072929,27623.705879,30774.252891,32529.56037,33328.860097,32215.07231,31814.519318,32019.985381,31885.975798,32629.838139,33781.105344,35257.434902,37637.842903,39877.2679,41073.672093,44071.522632,39339.972989,44342.314837,51482.627914,55661.304279,58054.487225,60443.482051,
ES,nrg_ind_ren,8.345,8.444,9.156,9.667,10.744,12.958,13.782,13.176,14.239,15.081,15.879,16.221,17.015,17.118,17.023,17.852,21.22,20.552,21.837,24.981,25.417,,
ES,road_eqs_carhab,451.0,,470.0,476.0,479.0,473.0,475.0,476.0,476.0,474.0,475.0,482.0,492.0,529.0,539.0,546.0,549.0,554.0,553.0,551.0,544.0,,
ES,road_eqs_carmot,7507000.0,,9380000.0,10256000.0,10797000.0,11079000.0,11467000.0,11763000.0,11938000.0,,12303075.0,12645648.0,12881856.0,14394389.0,14575031.0,14624456.0,14599359.0,14524538.0,14444847.0,14334215.0,14157909.0,,
FR,demo_r_d3dens,98.8,99.6,100.2,100.9,101.4,101.9,102.4,102.9,103.4,103.9,104.6,105.1,105.3,105.6,105.9,106.1,106.3,106.6,107.6,107.9,108.5,,
FR,diesel_price_ht,,438.61,485.4767346938776,486.41591836734693,641.6438775510204,410.0764,527.4914285714286,677.0579591836733,737.8402040816326,690.4232000000001,636.2591836734694,481.7042857142857,407.5322,479.059,589.0632,589.799387755102,441.3132,583.4722448979592,928.0419607843137,886.9240384615385,803.9405660377358,739.600510576923,902.1875
FR,env_air_gge,144795.86,142321.99,141649.97,140101.41,133697.28,133160.3,133939.05,135113.58,133435.28,133060.24,132614.53,134147.92,134532.43,134441.07,131859.57,131114.04,110233.31,124342.74,128634.79,123430.54,,,
FR,gdp_per_capita,29016.842034,30536.043829,32540.301896,34195.447103,35192.163357,34827.880811,36061.853652,37675.170698,37841.445959,39772.553683,40395.427694,41049.660974,42984.007884,44527.741486,46397.189077,51119.874507,49462.885531,52442.948742,57001.58454,60927.2735,62524.223344,64446.887463,
FR,nrg_ind_ren,9.319,9.272,8.936,9.426,11.188,12.215,12.671,10.813,13.239,13.88,14.362,14.803,15.451,15.847,16.384,17.174,19.109,19.391,20.33,22.462,23.229,,
FR,road_eqs_carhab,476.0,476.0,478.0,480.0,,486.0,538.0,540.0,542.0,546.0,551.0,558.0,564.0,569.0,568.0,569.0,568.0,570.0,571.0,575.0,579.0,,
FR,road_eqs_carmot,13590000.0,14348000.0,15143000.0,15922000.0,,,,21655548.0,22265274.0,22988251.0,23462729.0,23770158.0,23896213.0,23808937.0,23256662.0,22679025.0,22116864.0,21553559.0,20831620.0,20129451.0,19404333.0,,
IT,demo_r_d3dens,195.5,196.4,197.0,198.0,199.3,200.2,200.9,201.2,201.8,199.4,206.0,205.8,205.4,203.3,202.9,201.5,200.6,199.6,198.1,198.1,198.0,,
IT,diesel_price_ht,,511.2630612244898,558.1410204081633,548.3438775510203,705.1624489795918,478.2158,588.5616326530612,744.7855102040816,804.2657142857142,750.4040816326532,702.4077551020409,537.1671428571428,432.5366,515.8042,604.5358,594.2904081632653,462.75120000000004,600.6648979591837,1055.8890196078432,853.7238461538461,789.9805660377359,728.0918032786885,844.2118266978923
IT,env_air_gge,129944.69,128364.19,129596.69,129631.14,122799.38,117262.54,115901.75,114894.47,107511.09,104413.73,109256.54,106678.32,105588.49,101506.49,105100.24,106295.27,86522.66,102867.3,108953.64,108993.83,,,
IT,gdp_per_capita,29580.815906,30137.81213,32453.612053,34107.552548,35422.320586,34501.666695,34974.091511,36392.307585,36281.118449,36459.286713,36665.709207,37384.405169,40482.591491,42142.314165,43583.419042,46661.895024,44435.606105,49825.333453,57260.873654,60349.695219,62288.092896,63203.314646,
IT,nrg_ind_ren,6.316,7.549,8.328,9.807,11.492,12.775,13.023,12.881,15.441,16.741,17.082,17.525,17.415,18.267,17.796,18.181,20.359,18.888,18.826,19.179,19.385,,
IT,road_eqs_carhab,587.0,597.0,606.0,608.0,612.0,614.0,619.0,625.0,621.0,613.0,615.0,621.0,631.0,643.0,652.0,663.0,671.0,675.0,682.0,694.0,701.0,,
IT,road_eqs_carmot,8572000.0,9811000.0,11007000.0,12065000.0,12808000.0,13366000.0,13900000.0,14485000.0,14744000.0,14932000.0,15240069.0,15669276.0,16263957.0,16900141.0,17321593.0,17486135.0,17426703.0,17197765.0,17100357.0,17039273.0,16796038.0,,
